all_sz_list,所属行业,自选
000959,C 制造业,
000960,C 制造业,
000961,K 房地产,
000962,C 制造业,
000963,F 批发零售,
000965,K 房地产,
000966,D 水电煤气,
000967,N 公共环保,
000968,B 采矿业,
000969,C 制造业,
000970,C 制造业,
000971,I 信息技术,
000972,C 制造业,
000973,C 制造业,
000975,B 采矿业,
000976,C 制造业,
000977,C 制造业,
000978,N 公共环保,
000980,C 制造业,
000981,C 制造业,
000982,C 制造业,
000983,B 采矿业,
000985,C 制造业,
000987,J 金融业,
000988,C 制造业,
000989,C 制造业,
000990,C 制造业,
000993,D 水电煤气,
000995,C 制造业,
000996,F 批发零售,
000997,I 信息技术,
000998,A 农林牧渔,
000999,C 制造业,
001201,A 农林牧渔,
001202,G 运输仓储,
001203,B 采矿业,
001205,G 运输仓储,
001206,C 制造业,
001207,C 制造业,
001208,C 制造业,
001209,C 制造业,
001210,D 水电煤气,
001211,C 制造业,
001212,C 制造业,
001213,G 运输仓储,
001215,C 制造业,
001216,C 制造业,
001217,C 制造业,
001218,C 制造业,
001219,C 制造业,
001222,C 制造业,
001223,C 制造业,
001226,C 制造业,
001227,J 金融业,
001228,L 商务服务,
001229,C 制造业,
001230,N 公共环保,
001231,C 制造业,
001234,C 制造业,
001236,J 金融业,
001238,C 制造业,
001255,C 制造业,
001256,C 制造业,
001258,D 水电煤气,
001259,C 制造业,
001266,C 制造业,
001267,E 建筑业,
001268,C 制造业,
001269,C 制造业,
001270,C 制造业,
001283,C 制造业,
001288,C 制造业,
001289,D 水电煤气,
001296,C 制造业,
001298,F 批发零售,
001299,D 水电煤气,
001300,C 制造业,
001301,C 制造业,
001308,C 制造业,
001309,C 制造业,
001313,C 制造业,
001316,F 批发零售,
001317,G 运输仓储,
001318,C 制造业,
001319,C 制造业,
001322,C 制造业,
001323,C 制造业,
001330,R 文化传播,
001331,D 水电煤气,
001332,C 制造业,
001333,C 制造业,
001336,C 制造业,
001338,C 制造业,
001339,C 制造业,
001696,C 制造业,
001872,G 运输仓储,
001896,D 水电煤气,
001914,K 房地产,
001965,G 运输仓储,
001979,K 房地产,
002001,C 制造业,
002002,C 制造业,
002003,C 制造业,
002004,C 制造业,
002005,C 制造业,
002006,C 制造业,
002007,C 制造业,
002008,C 制造业,
002009,C 制造业,
002010,L 商务服务,
002011,C 制造业,
002012,C 制造业,
002013,C 制造业,
002014,C 制造业,
002015,D 水电煤气,
002016,K 房地产,
002017,C 制造业,
002019,C 制造业,
002020,C 制造业,
002021,C 制造业,
002022,C 制造业,
002023,C 制造业,*
002024,F 批发零售,
002025,C 制造业,
002026,C 制造业,
002027,L 商务服务,
002028,C 制造业,
002029,C 制造业,
002030,C 制造业,
002031,C 制造业,
002032,C 制造业,
002033,N 公共环保,
002034,N 公共环保,
002035,C 制造业,
002036,C 制造业,
002037,C 制造业,
002038,C 制造业,
002039,D 水电煤气,
002040,G 运输仓储,
002041,A 农林牧渔,
002042,C 制造业,
002043,C 制造业,
002044,Q 卫生,
002045,C 制造业,
002046,C 制造业,
002047,E 建筑业,
002048,C 制造业,
002049,C 制造业,
002050,C 制造业,
002051,E 建筑业,
002052,C 制造业,
002053,C 制造业,
002054,C 制造业,
002055,C 制造业,
002056,C 制造业,
002057,C 制造业,
002058,C 制造业,
002059,N 公共环保,
002060,E 建筑业,
002061,E 建筑业,
002062,E 建筑业,
002063,I 信息技术,
002064,C 制造业,
002065,I 信息技术,
002066,C 制造业,
002067,C 制造业,
002068,C 制造业,
002069,A 农林牧渔,
002072,I 信息技术,
002073,C 制造业,
002074,C 制造业,
002075,C 制造业,
002076,C 制造业,
002077,C 制造业,
002078,C 制造业,
002079,C 制造业,
002080,C 制造业,
002081,E 建筑业,
002082,C 制造业,
002083,C 制造业,
002084,C 制造业,
002085,C 制造业,
002086,A 农林牧渔,
002087,C 制造业,
002088,C 制造业,
002089,C 制造业,
002090,C 制造业,
002091,F 批发零售,
002092,C 制造业,
002093,I 信息技术,
002094,C 制造业,
002095,I 信息技术,
002096,C 制造业,
002097,C 制造业,
002098,C 制造业,
002099,C 制造业,
002100,C 制造业,
002101,C 制造业,
002102,C 制造业,
002103,L 商务服务,
002104,C 制造业,
002105,C 制造业,
002106,C 制造业,
002107,C 制造业,
002108,C 制造业,
002109,C 制造业,
002110,C 制造业,
002111,C 制造业,
002112,C 制造业,
002113,I 信息技术,
002114,C 制造业,
002115,L 商务服务,
002116,E 建筑业,
002117,C 制造业,
002118,C 制造业,
002119,C 制造业,
002120,G 运输仓储,
002121,C 制造业,
002122,C 制造业,
002123,I 信息技术,
002124,A 农林牧渔,
002125,C 制造业,
002126,C 制造业,
002127,L 商务服务,
002128,B 采矿业,
002129,C 制造业,
002130,C 制造业,
002131,I 信息技术,
002132,C 制造业,
002133,K 房地产,
002134,C 制造业,
002135,C 制造业,
002136,C 制造业,
002137,C 制造业,
002138,C 制造业,
002139,C 制造业,
002140,E 建筑业,
002141,C 制造业,
002142,J 金融业,
002144,C 制造业,
002145,C 制造业,
002146,K 房地产,
002148,I 信息技术,
002149,C 制造业,
002150,C 制造业,
002151,C 制造业,
002152,C 制造业,
002153,I 信息技术,
002154,C 制造业,
002155,B 采矿业,
002156,C 制造业,
002157,A 农林牧渔,
002158,C 制造业,
002159,N 公共环保,
002160,C 制造业,
002161,C 制造业,
002162,C 制造业,
002163,E 建筑业,
002164,C 制造业,
002165,C 制造业,
002166,C 制造业,
002167,C 制造业,
002168,I 信息技术,
002169,C 制造业,
002170,C 制造业,
002171,C 制造业,
002172,C 制造业,
002173,Q 卫生,
002174,I 信息技术,
002175,C 制造业,
002176,C 制造业,
002177,C 制造业,
002178,M 科研服务,
002179,C 制造业,
002180,C 制造业,
002181,L 商务服务,
002182,C 制造业,
002183,L 商务服务,
002184,C 制造业,
002185,C 制造业,
002186,H 住宿餐饮,
002187,F 批发零售,
002188,L 商务服务,
002189,C 制造业,
002190,C 制造业,
002191,C 制造业,
002192,B 采矿业,
002193,C 制造业,
002194,C 制造业,
002195,I 信息技术,
002196,C 制造业,
002197,I 信息技术,
002198,C 制造业,
002199,C 制造业,
002200,A 农林牧渔,
002201,C 制造业,
002202,C 制造业,
002203,C 制造业,
002204,C 制造业,
002205,C 制造业,
002206,C 制造业,
002207,B 采矿业,
002208,K 房地产,
002209,C 制造业,
002210,L 商务服务,
002211,C 制造业,
002212,I 信息技术,
002213,C 制造业,
002214,C 制造业,
002215,C 制造业,
002216,C 制造业,
002217,C 制造业,
002218,C 制造业,
002219,Q 卫生,
002221,F 批发零售,
002222,C 制造业,
002223,C 制造业,
002224,C 制造业,
002225,C 制造业,
002226,C 制造业,
002227,C 制造业,
002228,C 制造业,
002229,C 制造业,
002230,I 信息技术,
002231,C 制造业,
002232,I 信息技术,
002233,C 制造业,
002234,A 农林牧渔,
002235,I 信息技术,
002236,C 制造业,
002237,C 制造业,
002238,I 信息技术,
002239,C 制造业,
002240,C 制造业,
002241,C 制造业,
002242,C 制造业,
002243,C 制造业,
002244,K 房地产,
002245,C 制造业,
002246,C 制造业,
002247,I 信息技术,
002248,C 制造业,
002249,C 制造业,
002250,C 制造业,
002251,F 批发零售,
002252,C 制造业,
002253,I 信息技术,
002254,C 制造业,
002255,C 制造业,
002256,D 水电煤气,
002258,C 制造业,
002259,D 水电煤气,
002261,I 信息技术,
002262,C 制造业,
002263,C 制造业,
002264,F 批发零售,
002265,C 制造业,
002266,N 公共环保,
002267,D 水电煤气,
002268,I 信息技术,
002269,C 制造业,
002270,C 制造业,
002271,C 制造业,
002272,C 制造业,
002273,C 制造业,
002274,C 制造业,
002275,C 制造业,
002276,C 制造业,
002277,F 批发零售,
002278,C 制造业,
002279,I 信息技术,
002280,F 批发零售,
002281,C 制造业,
002282,C 制造业,
002283,C 制造业,
002284,C 制造业,
002285,K 房地产,
002286,C 制造业,
002287,C 制造业,
002288,C 制造业,
002289,C 制造业,
002290,C 制造业,
002291,C 制造业,
002292,C 制造业,
002293,C 制造业,
002294,C 制造业,
002295,C 制造业,
002296,C 制造业,
002297,C 制造业,
002298,I 信息技术,
002299,A 农林牧渔,*
002300,C 制造业,
002301,C 制造业,
002302,C 制造业,
002303,C 制造业,
002304,C 制造业,
002305,K 房地产,
002306,I 信息技术,
002307,E 建筑业,
002308,C 制造业,
002309,C 制造业,
002310,N 公共环保,
002311,C 制造业,
002312,C 制造业,
002313,C 制造业,
002314,K 房地产,
002315,I 信息技术,
002316,I 信息技术,
002317,C 制造业,
002318,C 制造业,
002319,C 制造业,
002320,G 运输仓储,
002321,A 农林牧渔,
002322,I 信息技术,
002323,E 建筑业,
002324,C 制造业,
002325,E 建筑业,
002326,C 制造业,
002327,C 制造业,
002328,C 制造业,
002329,C 制造业,
002330,C 制造业,
002331,I 信息技术,
002332,C 制造业,
002333,C 制造业,
002334,C 制造业,
002335,C 制造业,
002336,F 批发零售,
002337,C 制造业,
002338,C 制造业,
002339,C 制造业,
002340,C 制造业,
002341,C 制造业,
002342,C 制造业,
002343,R 文化传播,
002344,L 商务服务,
002345,C 制造业,
002346,C 制造业,
002347,C 制造业,
002348,C 制造业,
002349,C 制造业,
002350,C 制造业,
002351,C 制造业,
002352,G 运输仓储,
002353,C 制造业,
002354,I 信息技术,
002355,C 制造业,
002356,F 批发零售,
002357,G 运输仓储,
002358,C 制造业,
002360,C 制造业,
002361,C 制造业,
002362,C 制造业,
002363,C 制造业,
002364,C 制造业,
002365,C 制造业,
002366,C 制造业,
002367,C 制造业,
002368,I 信息技术,
002369,C 制造业,
002370,C 制造业,
002371,C 制造业,
002372,C 制造业,
002373,I 信息技术,
002374,C 制造业,
002375,E 建筑业,
002376,C 制造业,
002377,K 房地产,
002378,C 制造业,
002379,C 制造业,
002380,I 信息技术,
002381,C 制造业,
002382,C 制造业,
002383,C 制造业,
002384,C 制造业,
002385,C 制造业,
002386,C 制造业,
002387,C 制造业,
002388,C 制造业,
002389,C 制造业,
002390,C 制造业,
002391,C 制造业,
002392,C 制造业,
002393,C 制造业,
002394,C 制造业,
002395,C 制造业,
002396,C 制造业,
002397,C 制造业,
002398,C 制造业,
002399,C 制造业,
002400,L 商务服务,
002401,I 信息技术,
002402,C 制造业,
002403,C 制造业,
002404,C 制造业,
002405,I 信息技术,
002406,C 制造业,
002407,C 制造业,
002408,C 制造业,
002409,C 制造业,
002410,I 信息技术,
002411,C 制造业,
002412,C 制造业,
002413,C 制造业,
002414,C 制造业,
002415,C 制造业,
002416,F 批发零售,
002417,I 信息技术,
002418,C 制造业,
002419,F 批发零售,
002420,C 制造业,
002421,I 信息技术,
002422,C 制造业,
002423,J 金融业,
002424,C 制造业,
002425,I 信息技术,
002426,C 制造业,
002427,C 制造业,
002428,C 制造业,
002429,C 制造业,
002430,C 制造业,
002431,E 建筑业,
002432,C 制造业,
002433,C 制造业,
002434,C 制造业,
002435,C 制造业,
002436,C 制造业,
002437,C 制造业,
002438,C 制造业,
002439,I 信息技术,
002440,C 制造业,
002441,F 批发零售,
002442,C 制造业,
002443,C 制造业,
002444,C 制造业,
002445,R 文化传播,
002446,C 制造业,
002448,C 制造业,
002449,C 制造业,
002451,C 制造业,
002452,C 制造业,
002453,I 信息技术,
002454,C 制造业,
002455,C 制造业,
002456,C 制造业,
002457,C 制造业,
002458,A 农林牧渔,
002459,C 制造业,
002460,C 制造业,
002461,C 制造业,
002462,F 批发零售,
002463,C 制造业,
002465,C 制造业,
002466,C 制造业,
002467,I 信息技术,
002468,G 运输仓储,
002469,C 制造业,
002470,C 制造业,
002471,C 制造业,
002472,C 制造业,
002474,I 信息技术,
002475,C 制造业,
002476,C 制造业,
